Note,FileSize,FileCount,Network,Source,Destination,Bandwidth,RTT,BufferSize,Parallelism,Concurrency,Pipelining,Fast,Throughput,TestBed,Protocol,Version,Dedicated,Duration,CPU,MEM,DiskBW,Power
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,2,2,1,OFF,67.56338152,REAL,GridFTP,gt-5.0.3,no,15.15613898,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,3,3,2,OFF,98.60651849,REAL,GridFTP,gt-5.0.3,no,10.384709,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,4,4,3,OFF,114.1758217,REAL,GridFTP,gt-5.0.3,no,8.968623871,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,5,5,4,OFF,103.5687612,REAL,GridFTP,gt-5.0.3,no,9.887151185,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,6,6,5,OFF,87.36617139,REAL,GridFTP,gt-5.0.3,no,11.72078373,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,7,7,6,OFF,114.1523971,REAL,GridFTP,gt-5.0.3,no,8.970464274,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,8,8,7,OFF,56.22669295,REAL,GridFTP,gt-5.0.3,no,18.21199054,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,9,9,8,OFF,53.35576307,REAL,GridFTP,gt-5.0.3,no,19.19192869,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,10,10,9,OFF,59.29251595,REAL,GridFTP,gt-5.0.3,no,17.27030779,,,,
Chris-data,2097152,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,1,1,0,OFF,26.0964227,REAL,GridFTP,gt-5.0.3,no,78.47818927,,,,
